customer_state,avg_delivery_days,avg_delay_days,late_rate_pct,avg_review,total_orders
RR,28.98,-17.29,12.2,3.9,41
AP,26.73,-19.69,2.99,4.24,67
AM,25.99,-19.57,2.76,4.24,145
AL,24.04,-8.71,21.41,3.86,397
PA,23.32,-14.07,11.21,3.91,946
MA,21.12,-9.57,17.43,3.83,717
SE,21.03,-10.02,15.22,3.91,335
CE,20.82,-10.8,13.76,3.94,1279
AC,20.64,-20.72,3.75,4.09,80
PB,19.95,-13.26,10.44,4.08,517
PI,18.99,-11.31,13.87,3.99,476
RO,18.91,-20.1,2.88,4.17,243
BA,18.87,-10.79,12.16,3.93,3256
RN,18.82,-13.65,9.28,4.15,474
PE,17.97,-13.29,9.6,4.08,1593
MT,17.59,-14.36,5.98,4.15,886
TO,17.23,-12.13,9.85,4.15,274
ES,15.33,-10.5,10.73,4.08,1995
MS,15.19,-11.05,9.7,4.16,701
GO,15.15,-12.19,6.54,4.1,1957
RJ,14.85,-11.76,12.11,3.96,12350
RS,14.82,-13.91,6.08,4.19,5344
SC,14.48,-11.5,8.21,4.13,3546
DF,12.51,-12.05,5.67,4.13,2080
MG,11.54,-13.24,4.57,4.19,11354
PR,11.53,-13.31,4.04,4.24,4923
SP,8.3,-11.08,4.49,4.25,40494
