order_year_month,revenue,orders,customers,revenue_mom_pct
2016-10,40325.11,265,262,
2016-12,10.9,1,1,-99.97296969555694
2017-01,111798.36,750,718,1025573.0275229358
2017-02,234223.4,1653,1630,109.5052199334588
2017-03,359198.85,2546,2508,53.35737163750505
2017-04,340669.68,2303,2274,-5.158471414927968
2017-05,489159.25,3545,3478,43.58755084984376
2017-06,421923.37,3135,3076,-13.745192388777271
2017-07,481604.52,3872,3802,14.14502116818037
2017-08,554699.7,4193,4114,15.177428152044747
2017-09,607399.67,4150,4083,9.500630701621082
2017-10,648247.65,4478,4417,6.725057983650196
2017-11,987648.07,7288,7182,52.3565985931457
2017-12,726033.1900000001,5513,5450,-26.488674250130416
2018-01,924645.0,7069,6974,27.35574802027989
2018-02,826437.13,6555,6400,-10.621143249571452
2018-03,953356.25,7003,6914,15.35738356770102
2018-04,973534.09,6798,6744,2.116505765814192
2018-05,977544.69,6749,6693,0.4119629750202191
2018-06,855591.97,6096,6058,-12.475411226467823
2018-07,867486.47,6156,6097,1.3902070633037944
